Year,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,StratificationCategory1,Stratification1,unemployed_rate
2018,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,201,Race/Ethnicity,"Black, non-Hispanic",4
2018,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3798,Gender,Female,4
2018,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,700,Gender,Female,4
2018,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,34,Race/Ethnicity,Hispanic,4
2018,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3798,Overall,Overall,4
2018,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,700,Overall,Overall,4
2018,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,2747,Race/Ethnicity,"White, non-Hispanic",4
2018,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,491,Race/Ethnicity,"White, non-Hispanic",4
2019,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,971,Race/Ethnicity,"Black, non-Hispanic",3.7
2019,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,210,Race/Ethnicity,"Black, non-Hispanic",3.7
2019,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3872,Gender,Female,3.7
2019,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,709,Gender,Female,3.7
2019,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,34,Race/Ethnicity,Hispanic,3.7
2019,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,3.7
2019,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3872,Overall,Overall,3.7
2019,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,709,Overall,Overall,3.7
2019,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,2798,Race/Ethnicity,"White, non-Hispanic",3.7
2019,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,490,Race/Ethnicity,"White, non-Hispanic",3.7
2015,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,279,Race/Ethnicity,"Black, non-Hispanic",5.5
2015,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,69,Race/Ethnicity,"Black, non-Hispanic",5.5
2015,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2099,Gender,Female,5.5
2015,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,410,Gender,Female,5.5
2015,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,42,Race/Ethnicity,Hispanic,5.5
2015,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,5.5
2015,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2099,Overall,Overall,5.5
2015,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,410,Overall,Overall,5.5
2015,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,1728,Race/Ethnicity,"White, non-Hispanic",5.5
2015,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,331,Race/Ethnicity,"White, non-Hispanic",5.5
2016,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,286,Race/Ethnicity,"Black, non-Hispanic",4.2
2016,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,69,Race/Ethnicity,"Black, non-Hispanic",4.2
2016,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2170,Gender,Female,4.2
2016,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,412,Gender,Female,4.2
2016,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,46,Race/Ethnicity,Hispanic,4.2
2016,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,6,Race/Ethnicity,Hispanic,4.2
2016,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2170,Overall,Overall,4.2
2016,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,412,Overall,Overall,4.2
2016,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,1775,Race/Ethnicity,"White, non-Hispanic",4.2
2016,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,333,Race/Ethnicity,"White, non-Hispanic",4.2
2017,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,298,Race/Ethnicity,"Black, non-Hispanic",3.8
2017,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,70,Race/Ethnicity,"Black, non-Hispanic",3.8
2017,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2206,Gender,Female,3.8
2017,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,406,Gender,Female,3.8
2017,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,49,Race/Ethnicity,Hispanic,3.8
2017,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,6,Race/Ethnicity,Hispanic,3.8
2017,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2206,Overall,Overall,3.8
2017,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,406,Overall,Overall,3.8
2017,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,1792,Race/Ethnicity,"White, non-Hispanic",3.8
2017,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,325,Race/Ethnicity,"White, non-Hispanic",3.8
2018,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,304,Race/Ethnicity,"Black, non-Hispanic",3.8
2018,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,71,Race/Ethnicity,"Black, non-Hispanic",3.8
2018,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2241,Gender,Female,3.8
2018,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,400,Gender,Female,3.8
2018,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,52,Race/Ethnicity,Hispanic,3.8
2018,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,3.8
2018,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2241,Overall,Overall,3.8
2018,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,400,Overall,Overall,3.8
2018,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,1813,Race/Ethnicity,"White, non-Hispanic",3.8
2018,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,319,Race/Ethnicity,"White, non-Hispanic",3.8
2019,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,311,Race/Ethnicity,"Black, non-Hispanic",3.7
2019,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,69,Race/Ethnicity,"Black, non-Hispanic",3.7
2019,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2314,Gender,Female,3.7
2019,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,390,Gender,Female,3.7
2019,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,55,Race/Ethnicity,Hispanic,3.7
2019,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,3.7
2019,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,2314,Overall,Overall,3.7
2019,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,390,Overall,Overall,3.7
2019,AR,Arkansas,Breast Cancer,Incidence,Average Annual Number,1871,Race/Ethnicity,"White, non-Hispanic",3.7
2019,AR,Arkansas,Breast Cancer,Mortality,Average Annual Number,314,Race/Ethnicity,"White, non-Hispanic",3.7
2015,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,137,Race/Ethnicity,"Black, non-Hispanic",6.4
2015,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,29,Race/Ethnicity,"Black, non-Hispanic",6.4
2015,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,791,Gender,Female,6.4
2015,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4525,Gender,Female,6.4
2015,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,653,Race/Ethnicity,Hispanic,6.4
2015,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,100,Race/Ethnicity,Hispanic,6.4
2015,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4525,Overall,Overall,6.4
2015,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,791,Overall,Overall,6.4
2015,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,3524,Race/Ethnicity,"White, non-Hispanic",6.4
2015,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,634,Race/Ethnicity,"White, non-Hispanic",6.4
2016,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,140,Race/Ethnicity,"Black, non-Hispanic",5.7
2016,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,30,Race/Ethnicity,"Black, non-Hispanic",5.7
2016,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4670,Gender,Female,5.7
2016,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,811,Gender,Female,5.7
2016,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,690,Race/Ethnicity,Hispanic,5.7
2016,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,106,Race/Ethnicity,Hispanic,5.7
2016,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4670,Overall,Overall,5.7
2016,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,811,Overall,Overall,5.7
2016,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,3619,Race/Ethnicity,"White, non-Hispanic",5.7
2016,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,644,Race/Ethnicity,"White, non-Hispanic",5.7
2017,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,145,Race/Ethnicity,"Black, non-Hispanic",5.2
2017,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,32,Race/Ethnicity,"Black, non-Hispanic",5.2
2017,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4810,Gender,Female,5.2
2017,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,827,Gender,Female,5.2
2017,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,726,Race/Ethnicity,Hispanic,5.2
2017,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,110,Race/Ethnicity,Hispanic,5.2
2017,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,827,Overall,Overall,5.2
2017,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4810,Overall,Overall,5.2
2017,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,3709,Race/Ethnicity,"White, non-Hispanic",5.2
2017,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,650,Race/Ethnicity,"White, non-Hispanic",5.2
2018,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,146,Race/Ethnicity,"Black, non-Hispanic",4.9
2018,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,34,Race/Ethnicity,"Black, non-Hispanic",4.9
2018,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,820,Gender,Female,4.9
2018,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4923,Gender,Female,4.9
2018,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,747,Race/Ethnicity,Hispanic,4.9
2018,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,106,Race/Ethnicity,Hispanic,4.9
2018,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,4923,Overall,Overall,4.9
2018,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,820,Overall,Overall,4.9
2018,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,3790,Race/Ethnicity,"White, non-Hispanic",4.9
2018,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,643,Race/Ethnicity,"White, non-Hispanic",4.9
2019,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,149,Race/Ethnicity,"Black, non-Hispanic",5
2019,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,38,Race/Ethnicity,"Black, non-Hispanic",5
2019,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,842,Gender,Female,5
2019,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,5017,Gender,Female,5
2019,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,789,Race/Ethnicity,Hispanic,5
2019,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,109,Race/Ethnicity,Hispanic,5
2019,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,5017,Overall,Overall,5
2019,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,842,Overall,Overall,5
2019,AZ,Arizona,Breast Cancer,Incidence,Average Annual Number,3829,Race/Ethnicity,"White, non-Hispanic",5
2019,AZ,Arizona,Breast Cancer,Mortality,Average Annual Number,653,Race/Ethnicity,"White, non-Hispanic",5
2015,CA,California,Breast Cancer,Incidence,Average Annual Number,1685,Race/Ethnicity,"Black, non-Hispanic",6.8
2015,CA,California,Breast Cancer,Mortality,Average Annual Number,405,Race/Ethnicity,"Black, non-Hispanic",6.8
2015,CA,California,Breast Cancer,Incidence,Average Annual Number,25645,Gender,Female,6.8
2015,CA,California,Breast Cancer,Mortality,Average Annual Number,4407,Gender,Female,6.8
2015,CA,California,Breast Cancer,Incidence,Average Annual Number,4995,Race/Ethnicity,Hispanic,6.8
2015,CA,California,Breast Cancer,Mortality,Average Annual Number,751,Race/Ethnicity,Hispanic,6.8
2015,CA,California,Breast Cancer,Incidence,Average Annual Number,25645,Overall,Overall,6.8
2015,CA,California,Breast Cancer,Mortality,Average Annual Number,4407,Overall,Overall,6.8
2015,CA,California,Breast Cancer,Incidence,Average Annual Number,15428,Race/Ethnicity,"White, non-Hispanic",6.8
2015,CA,California,Breast Cancer,Mortality,Average Annual Number,2789,Race/Ethnicity,"White, non-Hispanic",6.8
2016,CA,California,Breast Cancer,Incidence,Average Annual Number,1679,Race/Ethnicity,"Black, non-Hispanic",5.7
2016,CA,California,Breast Cancer,Mortality,Average Annual Number,409,Race/Ethnicity,"Black, non-Hispanic",5.7
2016,CA,California,Breast Cancer,Incidence,Average Annual Number,25995,Gender,Female,5.7
2016,CA,California,Breast Cancer,Mortality,Average Annual Number,4416,Gender,Female,5.7
2016,CA,California,Breast Cancer,Incidence,Average Annual Number,5217,Race/Ethnicity,Hispanic,5.7
2016,CA,California,Breast Cancer,Mortality,Average Annual Number,780,Race/Ethnicity,Hispanic,5.7
2016,CA,California,Breast Cancer,Incidence,Average Annual Number,25995,Overall,Overall,5.7
2016,CA,California,Breast Cancer,Mortality,Average Annual Number,4416,Overall,Overall,5.7
2016,CA,California,Breast Cancer,Incidence,Average Annual Number,15442,Race/Ethnicity,"White, non-Hispanic",5.7
2016,CA,California,Breast Cancer,Mortality,Average Annual Number,2756,Race/Ethnicity,"White, non-Hispanic",5.7
2017,CA,California,Breast Cancer,Incidence,Average Annual Number,1696,Race/Ethnicity,"Black, non-Hispanic",5.2
2017,CA,California,Breast Cancer,Mortality,Average Annual Number,407,Race/Ethnicity,"Black, non-Hispanic",5.2
2017,CA,California,Breast Cancer,Incidence,Average Annual Number,26403,Gender,Female,5.2
2017,CA,California,Breast Cancer,Mortality,Average Annual Number,4438,Gender,Female,5.2
2017,CA,California,Breast Cancer,Incidence,Average Annual Number,5457,Race/Ethnicity,Hispanic,5.2
2017,CA,California,Breast Cancer,Mortality,Average Annual Number,803,Race/Ethnicity,Hispanic,5.2
2017,CA,California,Breast Cancer,Incidence,Average Annual Number,26403,Overall,Overall,5.2
2017,CA,California,Breast Cancer,Mortality,Average Annual Number,4438,Overall,Overall,5.2
2017,CA,California,Breast Cancer,Incidence,Average Annual Number,15444,Race/Ethnicity,"White, non-Hispanic",5.2
2017,CA,California,Breast Cancer,Mortality,Average Annual Number,2729,Race/Ethnicity,"White, non-Hispanic",5.2
2018,CA,California,Breast Cancer,Incidence,Average Annual Number,1697,Race/Ethnicity,"Black, non-Hispanic",4.4
2018,CA,California,Breast Cancer,Mortality,Average Annual Number,412,Race/Ethnicity,"Black, non-Hispanic",4.4
2018,CA,California,Breast Cancer,Incidence,Average Annual Number,26740,Gender,Female,4.4
2018,CA,California,Breast Cancer,Mortality,Average Annual Number,4478,Gender,Female,4.4
2018,CA,California,Breast Cancer,Incidence,Average Annual Number,5649,Race/Ethnicity,Hispanic,4.4
2018,CA,California,Breast Cancer,Mortality,Average Annual Number,801,Race/Ethnicity,Hispanic,4.4
2018,CA,California,Breast Cancer,Incidence,Average Annual Number,26740,Overall,Overall,4.4
2018,CA,California,Breast Cancer,Mortality,Average Annual Number,4478,Overall,Overall,4.4
2018,CA,California,Breast Cancer,Incidence,Average Annual Number,15432,Race/Ethnicity,"White, non-Hispanic",4.4
2018,CA,California,Breast Cancer,Mortality,Average Annual Number,2738,Race/Ethnicity,"White, non-Hispanic",4.4
2019,CA,California,Breast Cancer,Incidence,Average Annual Number,1711,Race/Ethnicity,"Black, non-Hispanic",4.3
2019,CA,California,Breast Cancer,Mortality,Average Annual Number,415,Race/Ethnicity,"Black, non-Hispanic",4.3
2019,CA,California,Breast Cancer,Incidence,Average Annual Number,27224,Gender,Female,4.3
2019,CA,California,Breast Cancer,Mortality,Average Annual Number,4493,Gender,Female,4.3
2019,CA,California,Breast Cancer,Incidence,Average Annual Number,5904,Race/Ethnicity,Hispanic,4.3
2019,CA,California,Breast Cancer,Mortality,Average Annual Number,823,Race/Ethnicity,Hispanic,4.3
2019,CA,California,Breast Cancer,Incidence,Average Annual Number,27224,Overall,Overall,4.3
2019,CA,California,Breast Cancer,Mortality,Average Annual Number,4493,Overall,Overall,4.3
2019,CA,California,Breast Cancer,Incidence,Average Annual Number,15466,Race/Ethnicity,"White, non-Hispanic",4.3
2019,CA,California,Breast Cancer,Mortality,Average Annual Number,2715,Race/Ethnicity,"White, non-Hispanic",4.3
2015,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,110,Race/Ethnicity,"Black, non-Hispanic",4.1
2015,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,23,Race/Ethnicity,"Black, non-Hispanic",4.1
2015,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3615,Gender,Female,4.1
2015,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,559,Gender,Female,4.1
2015,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,404,Race/Ethnicity,Hispanic,4.1
2015,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,60,Race/Ethnicity,Hispanic,4.1
2015,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3615,Overall,Overall,4.1
2015,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,559,Overall,Overall,4.1
2015,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,2998,Race/Ethnicity,"White, non-Hispanic",4.1
2015,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,467,Race/Ethnicity,"White, non-Hispanic",4.1
2016,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,117,Race/Ethnicity,"Black, non-Hispanic",3.3
2016,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,26,Race/Ethnicity,"Black, non-Hispanic",3.3
2016,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,572,Gender,Female,3.3
2016,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3749,Gender,Female,3.3
2016,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,425,Race/Ethnicity,Hispanic,3.3
2016,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,59,Race/Ethnicity,Hispanic,3.3
2016,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3749,Overall,Overall,3.3
2016,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,572,Overall,Overall,3.3
2016,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3098,Race/Ethnicity,"White, non-Hispanic",3.3
2016,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,476,Race/Ethnicity,"White, non-Hispanic",3.3
2017,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,120,Race/Ethnicity,"Black, non-Hispanic",2.6
2017,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,27,Race/Ethnicity,"Black, non-Hispanic",2.6
2017,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,582,Gender,Female,2.6
2017,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3895,Gender,Female,2.6
2017,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,443,Race/Ethnicity,Hispanic,2.6
2017,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,62,Race/Ethnicity,Hispanic,2.6
2017,CO,Colorado,Breast Cancer,Incidence,Average Annual Number,3895,Overall,Overall,2.6
2017,CO,Colorado,Breast Cancer,Mortality,Average Annual Number,582,Overall,Overall,2.6
