Year,State,Race,Household_Income,total_population,unemployment_rate,incidence,mortality
2015,Iowa,White,54736,2436877,3.6,2245,386
2015,Kentucky,Black,45215,3451246,5.2,229,49
2015,Kentucky,Hispanic,45215,3451246,5.2,27,4
2015,Kentucky,White,45215,3451246,5.2,3108,545
2015,Louisiana,Black,45727,3576862,6,1027,252
2015,Louisiana,Hispanic,45727,3576862,6,68,7
2015,Louisiana,White,45727,3576862,6,2221,387
2015,Maryland,Black,75847,4706659,4.6,1357,278
2015,Maryland,Hispanic,75847,4706659,4.6,137,15
2015,Maryland,White,75847,4706659,4.6,3049,508
2015,Michigan,Black,51084,7899267,4.9,992,230
2015,Michigan,Hispanic,51084,7899267,4.9,117,20
2015,Michigan,White,51084,7899267,4.9,6344,1151
2015,Minnesota,Black,63488,4298949,3.8,108,20
2015,Minnesota,Hispanic,63488,4298949,3.8,53,6
2015,Minnesota,White,63488,4298949,3.8,3897,599
2015,Mississippi,Black,40593,2281963,6.4,699,180
2015,Mississippi,Hispanic,40593,2281963,6.4,12,0
2015,Mississippi,White,40593,2281963,6.4,1341,243
2015,Missouri,Black,50238,4745022,4.5,500,120
2015,Missouri,Hispanic,50238,4745022,4.5,50,6
2015,Missouri,White,50238,4745022,4.5,4177,738
2015,Nebraska,Black,54996,1446285,3,42,9
2015,Nebraska,Hispanic,54996,1446285,3,39,3
2015,Nebraska,White,54996,1446285,3,1248,221
2015,Nevada,Black,52431,2255466,6.3,125,32
2015,Nevada,Hispanic,52431,2255466,6.3,203,26
2015,Nevada,White,52431,2255466,6.3,1277,264
2015,New Hampshire,Black,70303,1093157,3,4,0
2015,New Hampshire,Hispanic,70303,1093157,3,14,0
2015,New Hampshire,White,70303,1093157,3,1205,175
2015,New Jersey,Black,72222,7021039,5,884,215
2015,New Jersey,Hispanic,72222,7021039,5,729,84
2015,New Jersey,White,72222,7021039,5,5354,978
2015,New Mexico,Black,45382,1614139,6.5,19,6
2015,New Mexico,Hispanic,45382,1614139,6.5,486,76
2015,New Mexico,White,45382,1614139,6.5,838,150
2015,New York,Black,60850,15727088,4.8,2134,467
2015,New York,Hispanic,60850,15727088,4.8,1726,228
2015,New York,White,60850,15727088,4.8,11048,1782
2015,North Carolina,Black,47830,7846010,5.4,1635,347
2015,North Carolina,Hispanic,47830,7846010,5.4,169,17
2015,North Carolina,White,47830,7846010,5.4,5985,925
2015,Ohio,Black,51075,9142204,4.9,1001,242
2015,Ohio,Hispanic,51075,9142204,4.9,78,11
2015,Ohio,White,51075,9142204,4.9,8034,1510
2015,Oklahoma,Black,48568,2981527,4.4,170,45
2015,Oklahoma,Hispanic,48568,2981527,4.4,83,10
2015,Oklahoma,White,48568,2981527,4.4,2121,447
2015,Oregon,Black,54148,3244022,5,40,9
2015,Oregon,Hispanic,54148,3244022,5,119,13
2015,Oregon,White,54148,3244022,5,2873,487
2015,Pennsylvania,Black,55702,10225852,5.3,980,239
2015,Pennsylvania,Hispanic,55702,10225852,5.3,222,28
2015,Pennsylvania,White,55702,10225852,5.3,9584,1710
2015,Rhode Island,Black,58073,857070,5.6,32,7
2015,Rhode Island,Hispanic,58073,857070,5.6,52,4
2015,Rhode Island,White,58073,857070,5.6,820,124
2015,South Carolina,Black,47238,3852349,5.4,962,215
2015,South Carolina,Hispanic,47238,3852349,5.4,52,6
2015,South Carolina,White,47238,3852349,5.4,2823,456
2015,Tennessee,Black,47275,5184152,4.9,728,176
2015,Tennessee,Hispanic,47275,5184152,4.9,55,7
2015,Tennessee,White,47275,5184152,4.9,4123,723
2015,Texas,Black,55653,20696766,4.5,1883,451
2015,Texas,Hispanic,55653,20696766,4.5,3405,542
2015,Texas,White,55653,20696766,4.5,9728,1710
2015,Utah,Black,62912,2164055,3.5,8,0
2015,Utah,Hispanic,62912,2164055,3.5,108,10
2015,Utah,White,62912,2164055,3.5,1289,235
2015,Virginia,Black,66262,6517537,4,1205,259
2015,Virginia,Hispanic,66262,6517537,4,178,22
2015,Virginia,White,66262,6517537,4,4589,774
2015,Washington,Black,64129,5669906,5.4,135,26
2015,Washington,Hispanic,64129,5669906,5.4,204,18
2015,Washington,White,64129,5669906,5.4,4721,740
2015,Wisconsin,Black,55638,4555288,4.2,212,44
2015,Wisconsin,Hispanic,55638,4555288,4.2,76,7
2015,Wisconsin,White,55638,4555288,4.2,4174,694
2016,Alabama,Black,46257,3825968,5.7,913,201
2016,Alabama,Hispanic,46257,3825968,5.7,29,0
2016,Alabama,White,46257,3825968,5.7,2730,479
2016,Alaska,Black,76440,547590,6.7,13,0
2016,Alaska,Hispanic,76440,547590,6.7,14,0
2016,Alaska,White,76440,547590,6.7,304,46
2016,Arizona,Black,53558,5434795,5.3,140,30
2016,Arizona,Hispanic,53558,5434795,5.3,690,106
2016,Arizona,White,53558,5434795,5.3,3619,644
2016,Arkansas,Black,44334,2318409,3.8,286,69
2016,Arkansas,Hispanic,44334,2318409,3.8,46,6
2016,Arkansas,White,44334,2318409,3.8,1775,333
2016,California,Black,67739,30688153,5.4,1679,409
2016,California,Hispanic,67739,30688153,5.4,5217,780
2016,California,White,67739,30688153,5.4,15442,2756
2016,Colorado,Black,65685,4359555,2.7,117,26
2016,Colorado,Hispanic,65685,4359555,2.7,425,59
2016,Colorado,White,65685,4359555,2.7,3098,476
2016,Connecticut,Black,73433,2877085,4.6,258,44
2016,Connecticut,Hispanic,73433,2877085,4.6,251,21
2016,Connecticut,White,73433,2877085,4.6,2667,381
2016,Delaware,Black,61757,758249,4.7,155,28
2016,Delaware,Hispanic,61757,758249,4.7,22,0
2016,Delaware,White,61757,758249,4.7,634,106
2016,Florida,Black,50860,16773010,4.8,1813,406
2016,Florida,Hispanic,50860,16773010,4.8,2640,383
2016,Florida,White,50860,16773010,4.8,11428,2028
2016,Georgia,Black,53559,7939421,5.3,2113,448
2016,Georgia,Hispanic,53559,7939421,5.3,223,24
2016,Georgia,White,53559,7939421,5.3,4702,754
2016,Hawaii,Black,74511,1095214,2.7,9,0
2016,Hawaii,Hispanic,74511,1095214,2.7,66,6
2016,Hawaii,White,74511,1095214,2.7,288,47
2016,Indiana,Black,52314,5162688,4,402,87
2016,Indiana,Hispanic,52314,5162688,4,106,15
2016,Indiana,White,52314,5162688,4,4319,765
2016,Iowa,Black,56247,2447876,3.4,38,6
2016,Iowa,Hispanic,56247,2447876,3.4,31,3
2016,Iowa,White,56247,2447876,3.4,2269,387
2016,Kentucky,Black,46659,3468367,5.1,232,49
2016,Kentucky,Hispanic,46659,3468367,5.1,29,4
2016,Kentucky,White,46659,3468367,5.1,3158,549
2016,Louisiana,Black,45146,3587029,5.9,1053,248
2016,Louisiana,Hispanic,45146,3587029,5.9,70,8
2016,Louisiana,White,45146,3587029,5.9,2247,386
2016,Maryland,Black,78945,4725774,4.2,1403,281
2016,Maryland,Hispanic,78945,4725774,4.2,147,16
2016,Maryland,White,78945,4725774,4.2,3053,509
2016,Michigan,Black,52491,7936205,5,1002,229
2016,Michigan,Hispanic,52491,7936205,5,119,21
2016,Michigan,White,52491,7936205,5,6437,1143
2016,Minnesota,Black,65599,4337066,3.9,111,20
2016,Minnesota,Hispanic,65599,4337066,3.9,54,6
2016,Minnesota,White,65599,4337066,3.9,3921,590
2016,Mississippi,Black,41754,2288535,5.7,717,184
2016,Mississippi,Hispanic,41754,2288535,5.7,11,0
2016,Mississippi,White,41754,2288535,5.7,1375,248
2016,Missouri,Black,51746,4766621,4.3,508,116
2016,Missouri,Hispanic,51746,4766621,4.3,51,6
2016,Missouri,White,51746,4766621,4.3,4237,736
2016,Nebraska,Black,56927,1457487,3.1,40,9
2016,Nebraska,Hispanic,56927,1457487,3.1,43,4
2016,Nebraska,White,56927,1457487,3.1,1275,228
2016,Nevada,Black,55180,2301284,5.4,136,32
2016,Nevada,Hispanic,55180,2301284,5.4,215,28
2016,Nevada,White,55180,2301284,5.4,1295,267
2016,New Hampshire,Black,70936,1102025,2.9,5,0
2016,New Hampshire,Hispanic,70936,1102025,2.9,14,0
2016,New Hampshire,White,70936,1102025,2.9,1230,174
2016,New Jersey,Black,76126,7041896,4.7,921,212
2016,New Jersey,Hispanic,76126,7041896,4.7,779,89
2016,New Jersey,White,76126,7041896,4.7,5374,952
2016,New Mexico,Black,46748,1621254,6.8,20,5
2016,New Mexico,Hispanic,46748,1621254,6.8,494,76
2016,New Mexico,White,46748,1621254,6.8,837,155
2016,New York,Black,62909,15731371,4.8,2159,465
2016,New York,Hispanic,62909,15731371,4.8,1768,228
2016,New York,White,62909,15731371,4.8,11060,1765
2016,North Carolina,Black,50584,7969352,5,1673,346
2016,North Carolina,Hispanic,50584,7969352,5,185,19
2016,North Carolina,White,50584,7969352,5,6129,921
2016,Ohio,Black,52344,9176341,5.3,1021,240
2016,Ohio,Hispanic,52344,9176341,5.3,83,13
2016,Ohio,White,52344,9176341,5.3,8169,1491
2016,Oklahoma,Black,49176,2996384,4.5,182,46
2016,Oklahoma,Hispanic,49176,2996384,4.5,86,10
2016,Oklahoma,White,49176,2996384,4.5,2178,443
2016,Oregon,Black,57532,3306702,4.3,42,10
2016,Oregon,Hispanic,57532,3306702,4.3,127,16
2016,Oregon,White,57532,3306702,4.3,2895,501
2016,Pennsylvania,Black,56907,10242658,5.2,995,236
2016,Pennsylvania,Hispanic,56907,10242658,5.2,242,30
2016,Pennsylvania,White,56907,10242658,5.2,9682,1694
2016,Rhode Island,Black,60596,859062,4.8,35,7
2016,Rhode Island,Hispanic,60596,859062,4.8,56,5
2016,Rhode Island,White,60596,859062,4.8,827,122
2016,South Carolina,Black,49501,3917679,4.5,989,212
2016,South Carolina,Hispanic,49501,3917679,4.5,60,5
2016,South Carolina,White,49501,3917679,4.5,2904,464
2016,Tennessee,Black,48547,5241716,4.7,727,173
2016,Tennessee,Hispanic,48547,5241716,4.7,59,9
2016,Tennessee,White,48547,5241716,4.7,4190,742
2016,Texas,Black,56565,21076258,4.8,1952,454
2016,Texas,Hispanic,56565,21076258,4.8,3551,571
2016,Texas,White,56565,21076258,4.8,9926,1733
2016,Utah,Black,65977,2219183,3.2,7,0
2016,Utah,Hispanic,65977,2219183,3.2,117,11
2016,Utah,White,65977,2219183,3.2,1313,237
2016,Virginia,Black,68114,6570569,4,1226,261
2016,Virginia,Hispanic,68114,6570569,4,185,20
2016,Virginia,White,68114,6570569,4,4647,778
2016,Washington,Black,67106,5786076,4.9,141,26
2016,Washington,Hispanic,67106,5786076,4.9,222,21
2016,Washington,White,67106,5786076,4.9,4772,743
2016,Wisconsin,Black,56811,4577736,3.6,221,44
2016,Wisconsin,Hispanic,56811,4577736,3.6,77,7
2016,Wisconsin,White,56811,4577736,3.6,4227,684
2017,Alabama,Black,48123,3900414,4,937,195
2017,Alabama,Hispanic,48123,3900414,4,31,0
2017,Alabama,White,48123,3900414,4,2733,484
2017,Alaska,Black,73181,546318,6.4,11,0
2017,Alaska,Hispanic,73181,546318,6.4,16,0
2017,Alaska,White,73181,546318,6.4,303,47
2017,Arizona,Black,56581,5384434,4.9,145,32
2017,Arizona,Hispanic,56581,5384434,4.9,726,110
2017,Arizona,White,56581,5384434,4.9,3709,650
2017,Arkansas,Black,45869,2317188,3.8,298,70
2017,Arkansas,Hispanic,45869,2317188,3.8,49,6
2017,Arkansas,White,45869,2317188,3.8,1792,325
2017,California,Black,71805,30891323,4.5,1696,407
2017,California,Hispanic,71805,30891323,4.5,5457,803
2017,California,White,71805,30891323,4.5,15444,2729
2017,Colorado,Black,69117,4411950,2.8,120,27
2017,Colorado,Hispanic,69117,4411950,2.8,443,62
2017,Colorado,White,69117,4411950,2.8,3209,482
2017,Connecticut,Black,74168,2906004,4.3,258,45
2017,Connecticut,Hispanic,74168,2906004,4.3,259,24
2017,Connecticut,White,74168,2906004,4.3,2674,376
2017,Delaware,Black,62852,768214,4.2,161,29
2017,Delaware,Hispanic,62852,768214,4.2,25,0
2017,Delaware,White,62852,768214,4.2,635,107
2017,Florida,Black,52594,16940944,4,1875,418
2017,Florida,Hispanic,52594,16940944,4,2774,386
2017,Florida,White,52594,16940944,4,11604,2033
2017,Georgia,Black,56183,8043359,4.4,2199,460
2017,Georgia,Hispanic,56183,8043359,4.4,240,27
2017,Georgia,White,56183,8043359,4.4,4794,770
2017,Hawaii,Black,77765,1122876,1.9,10,0
2017,Hawaii,Hispanic,77765,1122876,1.9,69,7
2017,Hawaii,White,77765,1122876,1.9,282,44
2017,Indiana,Black,54181,5206146,3.3,407,86
2017,Indiana,Hispanic,54181,5206146,3.3,109,16
2017,Indiana,White,54181,5206146,3.3,4408,769
2017,Iowa,Black,58570,2470242,2.8,40,7
2017,Iowa,Hispanic,58570,2470242,2.8,35,5
2017,Iowa,White,58570,2470242,2.8,2367,379
2017,Kentucky,Black,48375,3496801,4.3,233,45
2017,Kentucky,Hispanic,48375,3496801,4.3,35,4
2017,Kentucky,White,48375,3496801,4.3,3204,549
2017,Louisiana,Black,46145,3586273,4.7,1081,252
2017,Louisiana,Hispanic,46145,3586273,4.7,74,8
2017,Louisiana,White,46145,3586273,4.7,2289,387
2017,Maryland,Black,80776,4812024,4,1447,293
2017,Maryland,Hispanic,80776,4812024,4,155,16
2017,Maryland,White,80776,4812024,4,3094,497
2017,Michigan,Black,54909,8016570,4.6,982,230
2017,Michigan,Hispanic,54909,8016570,4.6,119,20
2017,Michigan,White,54909,8016570,4.6,6422,1117
2017,Minnesota,Black,68388,4398667,3.3,123,20
2017,Minnesota,Hispanic,68388,4398667,3.3,53,6
2017,Minnesota,White,68388,4398667,3.3,4031,591
2017,Mississippi,Black,43529,2283572,4.9,732,188
2017,Mississippi,Hispanic,43529,2283572,4.9,12,0
2017,Mississippi,White,43529,2283572,4.9,1386,251
2017,Missouri,Black,53578,4783725,3.5,526,115
2017,Missouri,Hispanic,53578,4783725,3.5,53,7
2017,Missouri,White,53578,4783725,3.5,4304,739
2017,Nebraska,Black,59970,1479006,3,42,9
2017,Nebraska,Hispanic,59970,1479006,3,46,0
2017,Nebraska,White,59970,1479006,3,1301,229
2017,Nevada,Black,58003,2331090,4.9,147,36
2017,Nevada,Hispanic,58003,2331090,4.9,225,30
2017,Nevada,White,58003,2331090,4.9,1329,265
2017,New Hampshire,Black,73381,1116680,2.8,6,0
2017,New Hampshire,Hispanic,73381,1116680,2.8,15,0
2017,New Hampshire,White,73381,1116680,2.8,1246,172
2017,New Jersey,Black,80088,7291643,4.5,949,214
2017,New Jersey,Hispanic,80088,7291643,4.5,818,89
2017,New Jersey,White,80088,7291643,4.5,5414,935
2017,New Mexico,Black,46744,1630743,5.4,19,4
2017,New Mexico,Hispanic,46744,1630743,5.4,510,82
2017,New Mexico,White,46744,1630743,5.4,826,159
2017,New York,Black,64894,16200124,4.5,2216,459
2017,New York,Hispanic,64894,16200124,4.5,1845,224
2017,New York,White,64894,16200124,4.5,11188,1735
2017,North Carolina,Black,52752,7980579,4.3,1730,349
2017,North Carolina,Hispanic,52752,7980579,4.3,212,21
2017,North Carolina,White,52752,7980579,4.3,6291,947
2017,Ohio,Black,54021,9253686,4.6,1038,240
2017,Ohio,Hispanic,54021,9253686,4.6,86,14
2017,Ohio,White,54021,9253686,4.6,8343,1493
2017,Oklahoma,Black,50051,2991869,3.8,180,43
2017,Oklahoma,Hispanic,50051,2991869,3.8,95,9
2017,Oklahoma,White,50051,2991869,3.8,2232,447
2017,Oregon,Black,60212,3347470,4.1,43,10
2017,Oregon,Hispanic,60212,3347470,4.1,139,16
2017,Oregon,White,60212,3347470,4.1,2921,498
2017,Pennsylvania,Black,59105,10374421,4.9,1004,239
2017,Pennsylvania,Hispanic,59105,10374421,4.9,266,28
2017,Pennsylvania,White,59105,10374421,4.9,9739,1688
2017,Rhode Island,Black,63870,884825,4.5,36,8
2017,Rhode Island,Hispanic,63870,884825,4.5,59,5
2017,Rhode Island,White,63870,884825,4.5,830,120
2017,South Carolina,Black,50570,3921470,4.1,1006,218
2017,South Carolina,Hispanic,50570,3921470,4.1,63,6
2017,South Carolina,White,50570,3921470,4.1,2989,462
2017,Tennessee,Black,51340,5312956,3.5,742,172
2017,Tennessee,Hispanic,51340,5312956,3.5,67,10
2017,Tennessee,White,51340,5312956,3.5,4247,742
2017,Texas,Black,59206,21280466,4.1,2000,451
2017,Texas,Hispanic,59206,21280466,4.1,3701,587
2017,Texas,White,59206,21280466,4.1,10103,1746
2017,Utah,Black,65358,2284909,3.1,8,0
2017,Utah,Hispanic,65358,2284909,3.1,127,11
2017,Utah,White,65358,2284909,3.1,1335,243
2017,Virginia,Black,71535,6648412,3.4,1244,268
2017,Virginia,Hispanic,71535,6648412,3.4,193,20
2017,Virginia,White,71535,6648412,3.4,4666,799
2017,Washington,Black,70979,5897378,4.6,142,25
2017,Washington,Hispanic,70979,5897378,4.6,239,23
2017,Washington,White,70979,5897378,4.6,4832,768
2017,Wisconsin,Black,59305,4630515,3,223,41
2017,Wisconsin,Hispanic,59305,4630515,3,83,8
2017,Wisconsin,White,59305,4630515,3,4308,670
2018,Alabama,Black,49861,3923367,3.8,951,201
2018,Alabama,Hispanic,49861,3923367,3.8,34,0
2018,Alabama,White,49861,3923367,3.8,2747,491
2018,Alaska,Black,74346,545405,6,11,0
2018,Alaska,Hispanic,74346,545405,6,15,0
2018,Alaska,White,74346,545405,6,310,46
2018,Arizona,Black,59246,5481828,5,146,34
2018,Arizona,Hispanic,59246,5481828,5,747,106
2018,Arizona,White,59246,5481828,5,3790,643
2018,Arkansas,Black,47062,2325928,3.7,304,71
2018,Arkansas,Hispanic,47062,2325928,3.7,52,5
2018,Arkansas,White,47062,2325928,3.7,1813,319
2018,California,Black,75277,31020205,4.3,1697,412
2018,California,Hispanic,75277,31020205,4.3,5649,801
2018,California,White,75277,31020205,4.3,15432,2738
2018,Colorado,Black,71953,4484765,3.1,118,25
2018,Colorado,Hispanic,71953,4484765,3.1,461,65
2018,Colorado,White,71953,4484765,3.1,3303,495
2018,Connecticut,Black,76348,2912665,3.7,270,47
2018,Connecticut,Hispanic,76348,2912665,3.7,266,26
2018,Connecticut,White,76348,2912665,3.7,2668,367
2018,Delaware,Black,64805,777512,3.5,168,30
2018,Delaware,Hispanic,64805,777512,3.5,26,0
2018,Delaware,White,64805,777512,3.5,634,110
2018,Florida,Black,55462,17165107,3.5,1932,423
2018,Florida,Hispanic,55462,17165107,3.5,2953,407
2018,Florida,White,55462,17165107,3.5,11841,2038
2018,Georgia,Black,58756,8147736,3.9,2287,464
2018,Georgia,Hispanic,58756,8147736,3.9,272,26
2018,Georgia,White,58756,8147736,3.9,4908,774
2018,Hawaii,Black,80212,1124782,2.8,10,0
2018,Hawaii,Hispanic,80212,1124782,2.8,68,8
2018,Hawaii,White,80212,1124782,2.8,282,46
2018,Indiana,Black,55746,5241407,3.6,413,87
2018,Indiana,Hispanic,55746,5241407,3.6,119,17
2018,Indiana,White,55746,5241407,3.6,4487,772
2018,Iowa,Black,59955,2480914,2.6,45,7
2018,Iowa,Hispanic,59955,2480914,2.6,38,5
2018,Iowa,White,59955,2480914,2.6,2441,380
2018,Kentucky,Black,50247,3508665,4.2,242,48
2018,Kentucky,Hispanic,50247,3508665,4.2,37,5
2018,Kentucky,White,50247,3508665,4.2,3254,547
2018,Louisiana,Black,47905,3585611,4.8,1102,247
2018,Louisiana,Hispanic,47905,3585611,4.8,77,7
2018,Louisiana,White,47905,3585611,4.8,2346,397
2018,Maryland,Black,83242,4835331,3.7,1456,300
2018,Maryland,Hispanic,83242,4835331,3.7,164,19
2018,Maryland,White,83242,4835331,3.7,3087,496
2018,Michigan,Black,56697,8041813,4.2,968,233
2018,Michigan,Hispanic,56697,8041813,4.2,125,21
2018,Michigan,White,56697,8041813,4.2,6514,1133
2018,Minnesota,Black,70315,4435638,3.2,129,24
2018,Minnesota,Hispanic,70315,4435638,3.2,61,6
2018,Minnesota,White,70315,4435638,3.2,4137,589
2018,Mississippi,Black,44717,2280258,5.3,761,185
2018,Mississippi,Hispanic,44717,2280258,5.3,13,0
2018,Mississippi,White,44717,2280258,5.3,1422,253
2018,Missouri,Black,54478,4801417,3.3,523,116
2018,Missouri,Hispanic,54478,4801417,3.3,53,7
2018,Missouri,White,54478,4801417,3.3,4345,727
2018,Nebraska,Black,59566,1488977,3.1,43,9
2018,Nebraska,Hispanic,59566,1488977,3.1,51,0
2018,Nebraska,White,59566,1488977,3.1,1336,225
2018,Nevada,Black,58646,2382076,4.3,120,40
2018,Nevada,Hispanic,58646,2382076,4.3,189,31
2018,Nevada,White,58646,2382076,4.3,1072,260
2018,New Hampshire,Black,74991,1125094,2.6,5,0
2018,New Hampshire,Hispanic,74991,1125094,2.6,17,0
2018,New Hampshire,White,74991,1125094,2.6,1245,171
2018,New Jersey,Black,81740,7331804,3.6,947,212
2018,New Jersey,Hispanic,81740,7331804,3.6,833,93
2018,New Jersey,White,81740,7331804,3.6,5449,920
2018,New Mexico,Black,47169,1639707,5.2,20,4
2018,New Mexico,Hispanic,47169,1639707,5.2,511,85
2018,New Mexico,White,47169,1639707,5.2,825,167
2018,New York,Black,67844,16234123,4,2243,468
2018,New York,Hispanic,67844,16234123,4,1904,228
2018,New York,White,67844,16234123,4,11253,1720
2018,North Carolina,Black,53855,8078625,4,1789,350
2018,North Carolina,Hispanic,53855,8078625,4,234,24
2018,North Carolina,White,53855,8078625,4,6482,971
2018,Ohio,Black,56111,9284124,4.5,1041,236
2018,Ohio,Hispanic,56111,9284124,4.5,96,14
2018,Ohio,White,56111,9284124,4.5,8455,1480
2018,Oklahoma,Black,51924,3005032,3.2,185,44
2018,Oklahoma,Hispanic,51924,3005032,3.2,100,11
2018,Oklahoma,White,51924,3005032,3.2,2294,458
2018,Oregon,Black,63426,3383925,4.3,42,10
2018,Oregon,Hispanic,63426,3383925,4.3,149,16
2018,Oregon,White,63426,3383925,4.3,3003,497
2018,Pennsylvania,Black,60905,10402445,4.3,1003,240
2018,Pennsylvania,Hispanic,60905,10402445,4.3,283,33
2018,Pennsylvania,White,60905,10402445,4.3,9742,1677
2018,Rhode Island,Black,64340,889929,3.8,34,8
2018,Rhode Island,Hispanic,64340,889929,3.8,63,5
2018,Rhode Island,White,64340,889929,3.8,846,117
2018,South Carolina,Black,52306,3973814,3.2,1036,219
2018,South Carolina,Hispanic,52306,3973814,3.2,67,5
2018,South Carolina,White,52306,3973814,3.2,3038,483
2018,Tennessee,Black,52375,5368885,3.5,752,180
2018,Tennessee,Hispanic,52375,5368885,3.5,74,11
2018,Tennessee,White,52375,5368885,3.5,4283,754
2018,Texas,Black,60629,21596639,3.8,2053,470
2018,Texas,Hispanic,60629,21596639,3.8,3847,603
2018,Texas,White,60629,21596639,3.8,10370,1777
2018,Utah,Black,71414,2337116,2.8,9,0
2018,Utah,Hispanic,71414,2337116,2.8,139,14
2018,Utah,White,71414,2337116,2.8,1380,246
2018,Virginia,Black,72577,6693479,3.1,1273,268
2018,Virginia,Hispanic,72577,6693479,3.1,200,24
2018,Virginia,White,72577,6693479,3.1,4675,810
2018,Washington,Black,74073,5985376,4.6,137,27
2018,Washington,Hispanic,74073,5985376,4.6,255,29
2018,Washington,White,74073,5985376,4.6,4861,770
2018,Wisconsin,Black,60773,4656684,3,232,42
2018,Wisconsin,Hispanic,60773,4656684,3,88,7
2018,Wisconsin,White,60773,4656684,3,4376,671
2019,Alabama,Black,51734,3948677,3.1,971,210
2019,Alabama,Hispanic,51734,3948677,3.1,34,4
2019,Alabama,White,51734,3948677,3.1,2798,490
2019,Alaska,Black,75463,544765,5.3,10,0
2019,Alaska,Hispanic,75463,544765,5.3,18,0
2019,Alaska,White,75463,544765,5.3,307,46
2019,Arizona,Black,62055,5591724,4.7,149,38
2019,Arizona,Hispanic,62055,5591724,4.7,789,109
2019,Arizona,White,62055,5591724,4.7,3829,653
2019,Arkansas,Black,48952,2336888,3.5,311,69
2019,Arkansas,Hispanic,48952,2336888,3.5,55,4
2019,Arkansas,White,48952,2336888,3.5,1871,314
2019,California,Black,80440,31097199,4.2,1711,415
2019,California,Hispanic,80440,31097199,4.2,5904,823
2019,California,White,80440,31097199,4.2,15466,2715
2019,Colorado,Black,77127,4549990,2.8,126,25
2019,Colorado,Hispanic,77127,4549990,2.8,481,65
2019,Colorado,White,77127,4549990,2.8,3387,503
2019,Connecticut,Black,78833,2915958,3.8,280,48
2019,Connecticut,Hispanic,78833,2915958,3.8,279,25
2019,Connecticut,White,78833,2915958,3.8,2658,366
2019,Delaware,Black,70176,787914,3.6,174,33
2019,Delaware,Hispanic,70176,787914,3.6,28,0
2019,Delaware,White,70176,787914,3.6,648,109
2019,Florida,Black,59227,17381899,3,1982,443
2019,Florida,Hispanic,59227,17381899,3,3107,416
2019,Florida,White,59227,17381899,3,12102,2055
2019,Georgia,Black,61980,8252522,3.5,2365,474
2019,Georgia,Hispanic,61980,8252522,3.5,281,29
2019,Georgia,White,61980,8252522,3.5,5001,762
2019,Hawaii,Black,83102,1124772,2.3,12,0
2019,Hawaii,Hispanic,83102,1124772,2.3,70,9
2019,Hawaii,White,83102,1124772,2.3,284,48
2019,Indiana,Black,57603,5276602,3.3,402,87
2019,Indiana,Hispanic,57603,5276602,3.3,128,16
2019,Indiana,White,57603,5276602,3.3,4485,769
2019,Iowa,Black,61691,2493804,2.7,50,8
2019,Iowa,Hispanic,61691,2493804,2.7,37,6
2019,Iowa,White,61691,2493804,2.7,2503,378
2019,Kentucky,Black,52295,3522371,4.1,251,48
2019,Kentucky,Hispanic,52295,3522371,4.1,42,4
2019,Kentucky,White,52295,3522371,4.1,3286,564
2019,Louisiana,Black,51073,3585647,4.8,1112,242
2019,Louisiana,Hispanic,51073,3585647,4.8,80,9
