Cancer Mortality Rates by County in Texas
"Breast Male and Female, NH Black, 2015 - 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Medina,6473,0, 0.0, 0.0, 0.0, 0.0
Cameron,8517,0, 0.0, 0.0, 0.0, 0.0
Fayette,7986,0, 0.0, 0.0, 0.0, 0.0
Fannin,11876,0, 0.0, 0.0, 0.0, 0.0
Lavaca,6273,0, 0.0, 0.0, 0.0, 0.0
Parker,10310,0, 0.0, 0.0, 0.0, 0.0
Gonzales,6518,0, 0.0, 0.0, 0.0, 0.0
Hidalgo,18941,0, 0.0, 0.0, 0.0, 0.0
Jones,12254,0, 0.0, 0.0, 0.0, 0.0
STATE,17407751,2455,14.1,16.7, 16.0,17.4

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 20, 2023."
"Cancer Incidence File, Apr 2022."
