Year,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,StratificationCategory1,Stratification1
2012,AL,Alabama,Breast Cancer,mortality,Average Annual Number,673,Gender,Female
2012,AL,Alabama,Breast Cancer,mortality,Average Annual Number,673,Overall,Overall
2012,AZ,Arizona,Breast Cancer,mortality,Average Annual Number,85,Race,Hispanic
2015,AZ,Arizona,Breast Cancer,mortality,Average Annual Number,791,Gender,Female
2016,AZ,Arizona,Breast Cancer,mortality,Average Annual Number,811,Gender,Female
2017,AZ,Arizona,Breast Cancer,mortality,Average Annual Number,827,Overall,Overall
2018,AZ,Arizona,Breast Cancer,mortality,Average Annual Number,820,Gender,Female
2019,AZ,Arizona,Breast Cancer,mortality,Average Annual Number,842,Gender,Female
2016,CO,Colorado,Breast Cancer,mortality,Average Annual Number,572,Gender,Female
2017,CO,Colorado,Breast Cancer,mortality,Average Annual Number,582,Gender,Female
2016,DC,District of Columbia,Breast Cancer,mortality,Average Annual Number,102,Gender,Female
2017,DC,District of Columbia,Breast Cancer,mortality,Average Annual Number,99,Overall,Overall
2019,DC,District of Columbia,Breast Cancer,mortality,Average Annual Number,97,Gender,Female
2018,FL,Florida,Breast Cancer,mortality,Average Annual Number,2916,Gender,Female
2014,ID,Idaho,Breast Cancer,mortality,Average Annual Number,184,Overall,Overall
2017,ID,Idaho,Breast Cancer,mortality,Average Annual Number,208,Overall,Overall
2012,KS,Kansas,Breast Cancer,mortality,Average Annual Number,8,Race,Hispanic
2017,KY,Kentucky,Breast Cancer,mortality,Average Annual Number,549,Race,White
2018,MI,Michigan,Breast Cancer,mortality,Average Annual Number,1406,Overall,Overall
2016,MN,Minnesota,Breast Cancer,mortality,Average Annual Number,6,Race,Hispanic
2013,NJ,New Jersey,Breast Cancer,mortality,Average Annual Number,1022,Race,White
2015,NJ,New Jersey,Breast Cancer,mortality,Average Annual Number,215,Race,Black
2016,NJ,New Jersey,Breast Cancer,mortality,Average Annual Number,212,Race,Black
2017,NJ,New Jersey,Breast Cancer,mortality,Average Annual Number,935,Race,White
2018,NJ,New Jersey,Breast Cancer,mortality,Average Annual Number,920,Race,White
2019,NJ,New Jersey,Breast Cancer,mortality,Average Annual Number,1269,Overall,Overall
2012,OH,Ohio,Breast Cancer,mortality,Average Annual Number,9,Race,Hispanic
2018,OH,Ohio,Breast Cancer,mortality,Average Annual Number,1746,Overall,Overall
2014,OK,Oklahoma,Breast Cancer,mortality,Average Annual Number,10,Race,Hispanic
2017,SC,South Carolina,Breast Cancer,mortality,Average Annual Number,691,Overall,Overall
2013,TN,Tennessee,Breast Cancer,mortality,Average Annual Number,176,Race,Black
2019,TN,Tennessee,Breast Cancer,mortality,Average Annual Number,770,Race,White
2017,US,United States,Breast Cancer,mortality,Average Annual Number,6198,Race,Black
2019,WY,Wyoming,Breast Cancer,mortality,Average Annual Number,62,Race,White
2012,GA,Georgia,Breast Cancer,incidence,Average Annual Number,4385,Race,White
2016,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3749,Gender,Female
2019,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2280,Overall,Overall
2017,CA,California,Breast Cancer,incidence,Average Annual Number,1696,Race,Black
2017,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1288,Gender,Female
2015,MT,Montana,Breast Cancer,incidence,Average Annual Number,13,Race,Hispanic
2019,GA,Georgia,Breast Cancer,incidence,Average Annual Number,281,Race,Hispanic
2013,MO,Missouri,Breast Cancer,incidence,Average Annual Number,48,Race,Hispanic
2013,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1151,Gender,Female
2015,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1157,Gender,Female
2013,AL,Alabama,Breast Cancer,incidence,Average Annual Number,854,Race,Black
2013,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3219,Overall,Overall
2012,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,3335,Race,White
2012,ME,Maine,Breast Cancer,incidence,Average Annual Number,1128,Overall,Overall
2012,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1295,Gender,Female
2019,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,251,Race,Black
2018,IA,Iowa,Breast Cancer,incidence,Average Annual Number,45,Race,Black
2014,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2047,Gender,Female
2017,DE,Delaware,Breast Cancer,incidence,Average Annual Number,842,Gender,Female
2018,MI,Michigan,Breast Cancer,incidence,Average Annual Number,968,Race,Black
2014,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4682,Gender,Female
2012,CA,California,Breast Cancer,incidence,Average Annual Number,24298,Gender,Female
2014,MI,Michigan,Breast Cancer,incidence,Average Annual Number,971,Race,Black
2015,MI,Michigan,Breast Cancer,incidence,Average Annual Number,6344,Race,White
2019,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,1871,Race,White
2017,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,53,Race,Hispanic
2017,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4973,Overall,Overall
2012,CO,Colorado,Breast Cancer,incidence,Average Annual Number,103,Race,Black
2012,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,3967,Overall,Overall
2015,IL,Illinois,Breast Cancer,incidence,Average Annual Number,9979,Overall,Overall
2012,CA,California,Breast Cancer,incidence,Average Annual Number,15256,Race,White
2015,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,3897,Race,White
2019,DE,Delaware,Breast Cancer,incidence,Average Annual Number,648,Race,White
2019,MT,Montana,Breast Cancer,incidence,Average Annual Number,921,Overall,Overall
2015,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,4525,Gender,Female
2017,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,1386,Race,White
2013,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,489,Gender,Female
2013,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3113,Gender,Female
2019,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,22,Race,Hispanic
2015,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3347,Gender,Female
2016,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1061,Race,White
2012,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7321,Gender,Female
2018,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,2668,Race,White
2016,IA,Iowa,Breast Cancer,incidence,Average Annual Number,31,Race,Hispanic
2016,DE,Delaware,Breast Cancer,incidence,Average Annual Number,155,Race,Black
2018,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1228,Gender,Female
2014,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4072,Gender,Female
2015,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,64,Race,Hispanic
2012,GA,Georgia,Breast Cancer,incidence,Average Annual Number,151,Race,Hispanic
2013,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,7523,Gender,Female
2014,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,12,Race,Hispanic
2014,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1134,Overall,Overall
2019,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,1823,Race,Black
2019,AL,Alabama,Breast Cancer,incidence,Average Annual Number,2798,Race,White
2013,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3461,Gender,Female
2013,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,1319,Race,White
2018,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3303,Race,White
2018,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1454,Overall,Overall
2013,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,681,Race,Black
2018,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,504,Overall,Overall
2019,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1474,Gender,Female
2017,CO,Colorado,Breast Cancer,incidence,Average Annual Number,120,Race,Black
2015,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2245,Race,White
2017,ID,Idaho,Breast Cancer,incidence,Average Annual Number,57,Race,Hispanic
2016,AL,Alabama,Breast Cancer,incidence,Average Annual Number,29,Race,Hispanic
2016,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2119,Gender,Female
2018,FL,Florida,Breast Cancer,incidence,Average Annual Number,17373,Overall,Overall
2017,MT,Montana,Breast Cancer,incidence,Average Annual Number,852,Gender,Female
2013,DE,Delaware,Breast Cancer,incidence,Average Annual Number,751,Overall,Overall
2017,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3497,Overall,Overall
2016,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2365,Overall,Overall
2017,CA,California,Breast Cancer,incidence,Average Annual Number,26403,Gender,Female
2019,CO,Colorado,Breast Cancer,incidence,Average Annual Number,4150,Overall,Overall
2016,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,54,Race,Hispanic
2016,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,40,Race,Black
2014,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3038,Race,White
2015,AK,Alaska,Breast Cancer,incidence,Average Annual Number,13,Race,Hispanic
2016,GA,Georgia,Breast Cancer,incidence,Average Annual Number,4702,Race,White
2012,IL,Illinois,Breast Cancer,incidence,Average Annual Number,9416,Overall,Overall
2019,MI,Michigan,Breast Cancer,incidence,Average Annual Number,6622,Race,White
2015,CA,California,Breast Cancer,incidence,Average Annual Number,25645,Gender,Female
2013,CA,California,Breast Cancer,incidence,Average Annual Number,15275,Race,White
2012,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,474,Overall,Overall
2014,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,1692,Race,White
2018,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1246,Gender,Female
2017,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4985,Gender,Female
2015,AL,Alabama,Breast Cancer,incidence,Average Annual Number,30,Race,Hispanic
2015,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,17,Race,Hispanic
2017,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2367,Race,White
2014,ME,Maine,Breast Cancer,incidence,Average Annual Number,4,Race,Hispanic
2018,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,17,Race,Hispanic
2012,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1194,Race,White
2014,MT,Montana,Breast Cancer,incidence,Average Annual Number,787,Gender,Female
2019,IL,Illinois,Breast Cancer,incidence,Average Annual Number,10477,Overall,Overall
2016,MI,Michigan,Breast Cancer,incidence,Average Annual Number,119,Race,Hispanic
2017,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3232,Overall,Overall
2012,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,43,Race,Black
2012,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,44,Race,Hispanic
2017,AK,Alaska,Breast Cancer,incidence,Average Annual Number,428,Overall,Overall
2014,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,235,Race,Hispanic
2013,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4100,Race,White
2013,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,5537,Overall,Overall
2016,IL,Illinois,Breast Cancer,incidence,Average Annual Number,10133,Gender,Female
2013,AL,Alabama,Breast Cancer,incidence,Average Annual Number,2597,Race,White
2018,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3562,Overall,Overall
2013,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,480,Gender,Female
2015,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2104,Overall,Overall
2013,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2017,Gender,Female
2019,MT,Montana,Breast Cancer,incidence,Average Annual Number,13,Race,Hispanic
2014,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2306,Gender,Female
2014,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,492,Overall,Overall
2019,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,566,Overall,Overall
2014,MT,Montana,Breast Cancer,incidence,Average Annual Number,731,Race,White
2016,ME,Maine,Breast Cancer,incidence,Average Annual Number,1182,Overall,Overall
2019,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3626,Gender,Female
2019,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,149,Race,Black
2017,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,732,Race,Black
2014,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3273,Overall,Overall
2015,IN,Indiana,Breast Cancer,incidence,Average Annual Number,393,Race,Black
2017,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,528,Gender,Female
2014,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7529,Overall,Overall
2019,FL,Florida,Breast Cancer,incidence,Average Annual Number,17860,Gender,Female
2016,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1275,Race,White
2013,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,589,Race,Hispanic
2019,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2503,Race,White
2014,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,4404,Gender,Female
2012,MD,Maryland,Breast Cancer,incidence,Average Annual Number,1240,Race,Black
2014,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,269,Race,Black
2018,MT,Montana,Breast Cancer,incidence,Average Annual Number,838,Race,White
2018,MD,Maryland,Breast Cancer,incidence,Average Annual Number,164,Race,Hispanic
2018,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2241,Gender,Female
2015,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3615,Overall,Overall
2012,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2014,Overall,Overall
2018,ME,Maine,Breast Cancer,incidence,Average Annual Number,9,Race,Hispanic
2013,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,489,Overall,Overall
2014,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1069,Gender,Female
2013,CO,Colorado,Breast Cancer,incidence,Average Annual Number,109,Race,Black
2013,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,41,Race,Black
2016,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,66,Race,Hispanic
2013,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,1510,Race,Black
2014,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,2636,Race,White
2013,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1192,Race,White
2014,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,454,Race,White
2018,CA,California,Breast Cancer,incidence,Average Annual Number,26740,Overall,Overall
2013,MT,Montana,Breast Cancer,incidence,Average Annual Number,775,Gender,Female
2019,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1180,Race,White
2014,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,296,Race,Black
2015,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2068,Overall,Overall
2016,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3221,Overall,Overall
2019,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,566,Gender,Female
2017,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4408,Race,White
2016,CO,Colorado,Breast Cancer,incidence,Average Annual Number,117,Race,Black
2014,MD,Maryland,Breast Cancer,incidence,Average Annual Number,125,Race,Hispanic
2015,MT,Montana,Breast Cancer,incidence,Average Annual Number,745,Race,White
2012,IA,Iowa,Breast Cancer,incidence,Average Annual Number,26,Race,Hispanic
2016,CA,California,Breast Cancer,incidence,Average Annual Number,15442,Race,White
2012,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,5280,Race,White
2016,MI,Michigan,Breast Cancer,incidence,Average Annual Number,6437,Race,White
2019,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1474,Overall,Overall
2018,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4487,Race,White
2012,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,568,Race,Hispanic
2014,DE,Delaware,Breast Cancer,incidence,Average Annual Number,783,Overall,Overall
2012,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,209,Race,Hispanic
2012,MT,Montana,Breast Cancer,incidence,Average Annual Number,772,Gender,Female
2015,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1025,Race,White
2019,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,1112,Race,Black
2014,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,685,Race,Black
2012,FL,Florida,Breast Cancer,incidence,Average Annual Number,1579,Race,Black
2014,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,7750,Gender,Female
2012,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,811,Race,Black
2019,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,42,Race,Hispanic
2019,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,5017,Gender,Female
2017,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3895,Gender,Female
2013,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3233,Overall,Overall
2017,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,528,Overall,Overall
2012,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,1924,Overall,Overall
2018,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7841,Gender,Female
2018,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,304,Race,Black
2017,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,8476,Overall,Overall
2013,IN,Indiana,Breast Cancer,incidence,Average Annual Number,87,Race,Hispanic
2015,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,1027,Race,Black
2012,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4034,Race,White
2016,MI,Michigan,Breast Cancer,incidence,Average Annual Number,1002,Race,Black
2018,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,1813,Race,White
2015,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,1728,Race,White
2017,AL,Alabama,Breast Cancer,incidence,Average Annual Number,937,Race,Black
2015,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4177,Race,White
2013,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2004,Gender,Female
2016,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1187,Overall,Overall
2019,AK,Alaska,Breast Cancer,incidence,Average Annual Number,444,Overall,Overall
2013,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3219,Gender,Female
2018,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3254,Race,White
2015,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1351,Gender,Female
2016,MO,Missouri,Breast Cancer,incidence,Average Annual Number,51,Race,Hispanic
2012,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2014,Gender,Female
2013,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,7136,Gender,Female
2013,CA,California,Breast Cancer,incidence,Average Annual Number,4546,Race,Hispanic
2014,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1158,Race,White
2015,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,14,Race,Hispanic
2014,GA,Georgia,Breast Cancer,incidence,Average Annual Number,181,Race,Hispanic
2015,IA,Iowa,Breast Cancer,incidence,Average Annual Number,29,Race,Hispanic
2014,FL,Florida,Breast Cancer,incidence,Average Annual Number,2350,Race,Hispanic
2014,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7529,Gender,Female
2016,MT,Montana,Breast Cancer,incidence,Average Annual Number,14,Race,Hispanic
2016,MD,Maryland,Breast Cancer,incidence,Average Annual Number,3053,Race,White
2017,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,212,Race,Hispanic
2013,CO,Colorado,Breast Cancer,incidence,Average Annual Number,2870,Race,White
2013,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,5694,Race,White
2015,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,281,Race,White
2019,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,6026,Gender,Female
2017,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,496,Overall,Overall
2017,CA,California,Breast Cancer,incidence,Average Annual Number,26403,Overall,Overall
2012,MI,Michigan,Breast Cancer,incidence,Average Annual Number,913,Race,Black
2014,FL,Florida,Breast Cancer,incidence,Average Annual Number,15476,Overall,Overall
2015,DE,Delaware,Breast Cancer,incidence,Average Annual Number,147,Race,Black
2019,AK,Alaska,Breast Cancer,incidence,Average Annual Number,18,Race,Hispanic
2019,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3626,Overall,Overall
2016,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,3619,Race,White
2018,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,540,Overall,Overall
2017,ME,Maine,Breast Cancer,incidence,Average Annual Number,1208,Overall,Overall
2019,DE,Delaware,Breast Cancer,incidence,Average Annual Number,878,Gender,Female
2015,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4787,Overall,Overall
2018,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3798,Gender,Female
2015,FL,Florida,Breast Cancer,incidence,Average Annual Number,15935,Gender,Female
2013,MD,Maryland,Breast Cancer,incidence,Average Annual Number,4573,Gender,Female
2017,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,12,Race,Hispanic
2019,AL,Alabama,Breast Cancer,incidence,Average Annual Number,34,Race,Hispanic
2018,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,242,Race,Black
2016,ID,Idaho,Breast Cancer,incidence,Average Annual Number,51,Race,Hispanic
2018,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,61,Race,Hispanic
2017,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,726,Race,Hispanic
2012,MI,Michigan,Breast Cancer,incidence,Average Annual Number,6080,Race,White
2014,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,104,Race,Black
2018,MO,Missouri,Breast Cancer,incidence,Average Annual Number,523,Race,Black
2017,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3209,Race,White
2014,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,62,Race,Hispanic
2018,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,5976,Overall,Overall
2013,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,480,Overall,Overall
2017,DE,Delaware,Breast Cancer,incidence,Average Annual Number,635,Race,White
2016,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3749,Overall,Overall
2014,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,221,Race,Black
2016,MD,Maryland,Breast Cancer,incidence,Average Annual Number,1403,Race,Black
2012,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,5492,Gender,Female
2012,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3377,Gender,Female
2012,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2278,Overall,Overall
2012,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,1924,Gender,Female
